gn:id,gp:id_factual,gp:id_blackmad,reason
3515431,55903179,149595,mismatch
2636232,20093890,36972,mismatch
3157311,858480,858462,mismatch
3458237,457498,56125164,mismatch
7286162,12685258,785716,mismatch
3120911,23414101,762027,mismatch
5409784,23504724,55814696,mismatch
1160066,2255018,2242280,mismatch
1176218,2198387,2211041,mismatch
3518889,55917697,116023,mismatch
2832025,12634493,695094,mismatch
2843497,12634490,690200,mismatch
4906572,55833192,23507557,mismatch
3033954,578918,22527872,mismatch
143420,2217003,2254325,mismatch
143407,2217006,2254326,mismatch
143420,2217001,2254325,mismatch
143420,2217000,2254325,mismatch
3174748,717268,20150618,mismatch
5378407,55815795,55815428,mismatch
2945165,640773,12622763,mismatch
2906278,659131,12634604,mismatch
6355492,22661503,12695383,mismatch
1731604,1158597,1158596,mismatch
3010263,597548,597549,mismatch
2958331,634025,12635085,mismatch
1273193,2294799,29123088,mismatch
5253514,23493556,55832490,mismatch
3118771,12691092,764116,mismatch
5380658,55813406,55814955,mismatch
2637474,20094348,35358,mismatch
3532592,56075272,55909054,mismatch
2735981,746125,29382218,mismatch
5542046,55819350,55819614,mismatch
1769405,1143621,56037160,mismatch
4692513,55826539,23506138,mismatch
2906050,659281,12632858,mismatch
2960954,20074472,20074473,mismatch
618072,480792,480290,mismatch
8086352,55828683,55828732,mismatch
2994150,55965909,611321,mismatch
2913286,656064,12632812,mismatch
4914756,55830430,55829845,mismatch
4901923,55830432,55829772,mismatch
3695712,420283,420358,mismatch
617086,480722,480721,mismatch
2865603,12635355,678267,mismatch
5307900,55820579,23507400,mismatch
122936,2240991,2240993,mismatch
3651449,375024,28358254,mismatch
4359724,55839731,55839311,mismatch
2754141,730092,20064054,mismatch
2961247,562331,20071840,mismatch
293397,1968018,1968029,mismatch
4231007,23508421,55842995,mismatch
3460214,436471,436472,mismatch
5133088,55836735,55835405,mismatch
6357801,767794,12688961,mismatch
2840683,691337,691339,mismatch
780104,858781,858782,mismatch
3947199,420527,419440,mismatch
2939687,643402,12636309,mismatch
3692433,420524,420531,mismatch
3651457,26810494,375020,mismatch
3669929,368569,350937,mismatch
4719337,55827533,55827388,mismatch
2965772,20073337,560127,mismatch
3114277,769506,29372268,mismatch
3883201,349935,348328,mismatch
3006679,20179410,599847,mismatch
2154501,28588907,1097909,mismatch
3518236,144684,148732,mismatch
2813145,704438,12635083,mismatch
2741088,29385436,29385387,mismatch
1735172,1155250,1141190,mismatch
1151303,55945371,56064684,mismatch
2857756,12623648,683031,mismatch
2890527,12623644,665938,mismatch
2761419,547270,12674476,mismatch
2331140,56125646,1399773,mismatch
3119999,22661403,763014,mismatch
7285033,20075509,20100660,mismatch
8160570,28737222,28737221,mismatch
8160570,28737220,28737221,mismatch
8159094,28737224,28737223,mismatch
8152339,28737226,28737225,mismatch
3532276,55911081,113371,mismatch
3824143,55911085,55888728,mismatch
2510173,776085,776083,mismatch
727495,839355,839359,mismatch
4906572,55830594,23507557,mismatch
2812644,12634649,704672,mismatch
2823214,12634647,698971,mismatch
5004610,28744311,2466557,mismatch
5773175,55819434,55819252,mismatch
2936759,12635414,644845,mismatch
2847156,12623827,688558,mismatch
2928520,12635416,648999,mismatch
5275166,55831372,55832101,mismatch
4899089,55830928,55823242,mismatch
4887084,55830923,55831925,mismatch
2872585,12623790,674417,mismatch
1149379,1928683,1915520,mismatch
1696304,1185893,56121254,mismatch
99103,1979405,1979396,mismatch
1519624,2261547,2265102,mismatch
1519624,2261548,2265102,mismatch
261891,955054,950248,mismatch
4735075,55826765,55826904,mismatch
1041486,1557959,1547611,mismatch
3935636,420388,420389,mismatch
3935636,420380,420389,mismatch
3935636,420381,420389,mismatch
5357144,55815862,23506419,mismatch
4901497,55830197,55830964,mismatch
139197,2221914,2221912,mismatch
3172676,723461,719002,mismatch
3033828,20180072,29330789,mismatch
2756574,728866,728868,mismatch
2961379,562259,20073738,mismatch
2961391,562251,20071470,mismatch
3520339,55882649,140644,mismatch
6692253,785591,12685173,mismatch
3037872,55965935,575942,mismatch
3014326,55965936,594002,mismatch
3023486,55965938,587121,mismatch
3230816,561423,20074200,mismatch
3449767,449050,449039,mismatch
7286420,20075557,20102966,mismatch
4921091,28349476,55832176,mismatch
4004616,125123,125125,mismatch
166141,1943857,1942883,mismatch
134962,2254585,2241329,mismatch
3032257,12639085,580228,mismatch
7285646,12685215,785665,mismatch
2513662,767508,29372893,mismatch
3870294,348618,349869,mismatch
3123237,12694666,759774,mismatch
5525122,55826450,55827462,mismatch
2976608,627272,627271,mismatch
2966815,559542,20072344,mismatch
3714710,154699,26793293,mismatch
2965418,20073418,560323,mismatch
2965418,20073419,560323,mismatch
4706361,55820739,55828102,mismatch
2374846,1562735,1562736,mismatch
2963983,20072649,560994,mismatch
2644059,26931,26932,mismatch
1516306,2265308,2265307,mismatch
3145090,862038,862039,mismatch
4915597,55830470,55831921,mismatch
4903402,23507206,55831803,mismatch
3652002,376225,26810386,mismatch
5158242,55834750,55833851,mismatch
5166621,55834752,55833881,mismatch
7286882,12684985,785189,mismatch
7287236,12684984,785188,mismatch
776832,860497,865957,mismatch
1609332,1226020,1210963,mismatch
251686,964958,964959,mismatch
5552194,55815191,55814004,mismatch
8200820,22724573,22724547,mismatch
2965604,20072610,560220,mismatch
4648486,55825449,55825191,mismatch
2514890,12695349,765533,mismatch
8158871,28737528,28737527,mismatch
5339651,23505736,55815949,mismatch
2899723,661967,661962,mismatch
6347658,55821213,55821611,mismatch
1792890,2145609,12686558,mismatch
136249,2223829,2254548,mismatch
3654650,373448,26810142,mismatch
2099805,1051879,1051881,mismatch
2741050,739084,739086,mismatch
2523347,723268,723263,mismatch
3525925,55899346,55904062,mismatch
1524305,2257814,2255471,mismatch
7122623,55820091,55818721,mismatch
2978295,625699,625697,mismatch
6356475,12691522,777815,mismatch
7119101,55821278,55821438,mismatch
4913822,55831941,55829803,mismatch
2652346,16882,16883,mismatch
1515832,2265770,2266703,mismatch
5335557,55815924,55812751,mismatch
5383364,55815920,55813610,mismatch
274723,1962086,56411753,mismatch
3456102,455265,441667,mismatch
2929541,12636507,648429,mismatch
2853292,12636500,685300,mismatch
3653967,26810204,375875,mismatch
2525088,29343963,713319,mismatch
4906665,55831977,55830005,mismatch
7871930,12674032,28995996,mismatch
2830849,695665,12634546,mismatch
4943142,55837671,55837399,mismatch
1024690,1551952,1551951,mismatch
2896613,12622886,663292,mismatch
2949353,12622882,638719,mismatch
2085037,1060022,1061505,mismatch
6347106,55817829,55816572,mismatch
4914764,55831919,55830895,mismatch
2868777,676474,676470,mismatch
1688814,56121344,1191575,mismatch
146729,841198,841199,mismatch
146736,841190,841191,mismatch
139197,2254482,2221912,mismatch
4162027,23497253,55841702,mismatch
125112,2238427,2254892,mismatch
8224200,13233,13232,mismatch
1516393,2266544,2265975,mismatch
